,총_누적_발생_건수,총_누적_검거_건수,장기_누적_검거율(%)
,,,
,,,
자치구,,,
종로구,40476.0,41920.0,103.57
중구,42956.0,28691.0,66.79
용산구,37200.0,26299.0,70.7
성동구,28510.0,20021.0,70.22
광진구,46672.0,31207.0,66.86
동대문구,41003.0,30362.0,74.05
중랑구,45742.0,33145.0,72.46
성북구,34179.0,25074.0,73.36
강북구,35873.0,28549.0,79.58
도봉구,24426.0,17779.0,72.79
노원구,45086.0,30865.0,68.46
은평구,42861.0,31668.0,73.89
서대문구,32370.0,22088.0,68.24
마포구,51808.0,34390.0,66.38
양천구,39312.0,26054.0,66.27
강서구,52290.0,39434.0,75.41
구로구,49446.0,33510.0,67.77
금천구,32802.0,24525.0,74.77
영등포구,60621.0,40214.0,66.34
동작구,34662.0,22575.0,65.13
관악구,58521.0,40370.0,68.98
서초구,51993.0,34730.0,66.8
강남구,81473.0,56709.0,69.6
송파구,63641.0,41404.0,65.06
강동구,44997.0,31491.0,69.98
