지역구,총_누적_발생_건수,총_누적_검거_건수,장기_누적_검거율(%)
강남구,81473,56709,69.6
강동구,44997,31491,69.98
강북구,35873,28549,79.58
강서구,52290,39434,75.41
관악구,58521,40370,68.98
광진구,46672,31207,66.86
구로구,49446,33510,67.77
금천구,32802,24525,74.77
노원구,45086,30865,68.46
도봉구,24426,17779,72.79
동대문구,41003,30362,74.05
동작구,34662,22575,65.13
마포구,51808,34390,66.38
서대문구,32370,22088,68.24
서초구,51993,34730,66.8
성동구,28510,20021,70.22
성북구,34179,25074,73.36
송파구,63641,41404,65.06
양천구,39312,26054,66.27
영등포구,60621,40214,66.34
용산구,37200,26299,70.7
은평구,42861,31668,73.89
종로구,40476,41920,103.57
중구,42956,28691,66.79
중랑구,45742,33145,72.46
