지역구,총_누적_발생_건수,총_누적_검거_건수,장기_누적_검거율(%)
강남구,33319,24224,72.7
강동구,17705,12773,72.14
강북구,12689,10717,84.46
강서구,21278,16983,79.81
관악구,23838,17415,73.06
광진구,16601,11763,70.86
구로구,18633,13242,71.07
금천구,11871,9057,76.3
노원구,17732,12540,70.72
도봉구,9842,7138,72.53
동대문구,15786,11592,73.43
동작구,13662,9179,67.19
마포구,19049,13648,71.65
서대문구,11624,8032,69.1
서초구,21026,14566,69.28
성동구,10808,7802,72.19
성북구,12322,9566,77.63
소계,430555,317755,73.8
송파구,25688,17529,68.24
양천구,15419,10549,68.42
영등포구,22800,16068,70.47
용산구,14660,10551,71.97
은평구,16831,12753,75.77
종로구,14698,16115,109.64
중구,15646,11159,71.32
중랑구,17028,12794,75.14
