지역구,2020,2021,2022,2023,2024
강남구,98805,110242,122255,120466,103837
강동구,89662,89136,94601,91280,88670
강북구,70906,70374,81626,78078,73199
강서구,114681,112892,124100,121481,115142
관악구,113418,112991,127156,120381,112242
광진구,83897,80598,97974,87499,82149
구로구,84639,82252,86579,87039,83147
금천구,60586,60924,64525,64927,61789
남대문구,23098,25660,31652,32558,30801
노원구,87338,86084,93587,92050,85371
도봉구,52755,53731,59677,59285,57054
동대문구,84159,81689,88538,87216,85806
동작구,68850,67445,75203,73385,68249
마포구,100672,102958,118499,118999,118997
방배구,25101,25555,27920,26764,30660
서대문구,58517,61711,66645,66234,62706
서부구,35440,42386,45792,44809,42572
서초구,79585,80928,93345,87073,80062
성동구,56877,61178,69288,66802,61653
성북구,39018,39500,43794,42821,40689
송파구,124680,127279,139981,133883,129399
수서구,72465,76145,82927,79283,78478
양천구,70914,72390,75542,73549,68861
영등포구,110595,111776,125151,125790,119260
용산구,69847,70794,86771,81320,81795
은평구,53419,46128,47086,45544,44408
종로구,38328,39591,49461,50301,50780
종암구,33742,33702,36522,36617,35595
중랑구,86923,84004,89183,87617,85496
중부구,39055,40617,46089,45743,43784
혜화구,30589,29596,34508,33413,32929
