경찰서,2020,2021,2022,2023,2024
 송파 ,124680,127279,139981,133883,129399
 영등포 ,110595,111776,125151,125790,119260
 마포 ,100672,102958,118499,118999,118997
 강서 ,114681,112892,124100,121481,115142
 관악 ,113418,112991,127156,120381,112242
 강남 ,98805,110242,122255,120466,103837
 강동 ,89662,89136,94601,91280,88670
 동대문 ,84159,81689,88538,87216,85806
 중랑 ,86923,84004,89183,87617,85496
 노원 ,87338,86084,93587,92050,85371
 구로 ,84639,82252,86579,87039,83147
 광진 ,83897,80598,97974,87499,82149
 용산 ,69847,70794,86771,81320,81795
 서초 ,79585,80928,93345,87073,80062
 수서 ,72465,76145,82927,79283,78478
 강북 ,70906,70374,81626,78078,73199
 양천 ,70914,72390,75542,73549,68861
 동작 ,68850,67445,75203,73385,68249
 서대문 ,58517,61711,66645,66234,62706
 금천 ,60586,60924,64525,64927,61789
 성동 ,56877,61178,69288,66802,61653
 도봉 ,52755,53731,59677,59285,57054
 종로 ,38328,39591,49461,50301,50780
 은평 ,53419,46128,47086,45544,44408
 중부 ,39055,40617,46089,45743,43784
 서부 ,35440,42386,45792,44809,42572
 성북 ,39018,39500,43794,42821,40689
 종암 ,33742,33702,36522,36617,35595
 혜화 ,30589,29596,34508,33413,32929
 남대문 ,23098,25660,31652,32558,30801
 방배 ,25101,25555,27920,26764,30660
