지역구명,동별,지역구별 주점 수,동별 주점 수
중구,충무로3가,207,25
중구,충무로4가,207,23
중구,광희동1가,207,21
중구,북창동,207,17
중구,을지로3가,207,15
중구,황학동,207,14
중구,초동,207,12
중구,남대문로5가,207,8
중구,오장동,207,6
중구,다동,207,5
중구,신당동,207,5
중구,충무로2가,207,5
중구,중림동,207,4
중구,저동2가,207,4
중구,서소문동,207,4
중구,인현동1가,207,4
중구,을지로1가,207,3
중구,수표동,207,3
중구,주교동,207,3
중구,흥인동,207,2
중구,을지로5가,207,2
중구,을지로4가,207,2
중구,필동1가,207,2
중구,회현동1가,207,2
중구,인현동2가,207,2
중구,무교동,207,2
중구,을지로6가,207,2
중구,남산동2가,207,1
중구,방산동,207,1
중구,을지로2가,207,1
중구,필동2가,207,1
중구,저동1가,207,1
중구,태평로1가,207,1
중구,태평로2가,207,1
중구,남창동,207,1
중구,무학동,207,1
중구,남대문로4가,207,1
관악구,신림동,190,151
관악구,봉천동,190,25
관악구,남현동,190,14
종로구,종로5가,187,41
종로구,효제동,187,16
종로구,낙원동,187,15
종로구,창신동,187,12
종로구,숭인동,187,12
종로구,관철동,187,11
종로구,종로6가,187,10
종로구,당주동,187,9
종로구,청진동,187,8
종로구,돈의동,187,7
종로구,연지동,187,6
종로구,장사동,187,4
종로구,관수동,187,4
종로구,원남동,187,3
종로구,종로3가,187,3
종로구,종로4가,187,3
종로구,인사동,187,2
종로구,교남동,187,2
종로구,인의동,187,2
종로구,수송동,187,2
종로구,종로2가,187,1
종로구,견지동,187,1
종로구,충신동,187,1
종로구,교북동,187,1
종로구,재동,187,1
종로구,관훈동,187,1
종로구,신문로1가,187,1
종로구,운니동,187,1
종로구,와룡동,187,1
종로구,공평동,187,1
종로구,묘동,187,1
종로구,평창동,187,1
종로구,도렴동,187,1
종로구,내수동,187,1
종로구,종로1가,187,1
강남구,역삼동,165,78
강남구,삼성동,165,31
강남구,논현동,165,27
강남구,신사동,165,13
강남구,청담동,165,10
강남구,대치동,165,6
영등포구,영등포동3가,130,63
영등포구,여의도동,130,39
영등포구,신길동,130,5
영등포구,양평동4가,130,3
영등포구,당산동5가,130,3
영등포구,영등포동5가,130,3
영등포구,당산동6가,130,3
영등포구,대림동,130,2
영등포구,당산동2가,130,2
영등포구,영등포동4가,130,2
영등포구,당산동1가,130,1
영등포구,문래동1가,130,1
영등포구,영등포동8가,130,1
영등포구,영등포동1가,130,1
영등포구,양평동1가,130,1
강서구,화곡동,126,90
강서구,마곡동,126,31
강서구,공항동,126,2
강서구,가양동,126,2
강서구,방화동,126,1
강동구,길동,98,78
강동구,천호동,98,15
강동구,성내동,98,3
강동구,암사동,98,2
송파구,가락동,88,45
송파구,방이동,88,28
송파구,잠실동,88,10
송파구,석촌동,88,4
송파구,풍납동,88,1
은평구,응암동,76,28
은평구,대조동,76,19
은평구,불광동,76,14
은평구,갈현동,76,13
은평구,녹번동,76,2
강북구,수유동,69,51
강북구,미아동,69,13
강북구,번동,69,5
동대문구,장안동,50,30
동대문구,답십리동,50,6
동대문구,용두동,50,4
동대문구,전농동,50,3
동대문구,휘경동,50,3
동대문구,이문동,50,2
동대문구,신설동,50,1
동대문구,청량리동,50,1
금천구,시흥동,44,22
금천구,가산동,44,13
금천구,독산동,44,9
마포구,도화동,42,15
마포구,노고산동,42,9
마포구,서교동,42,8
마포구,공덕동,42,6
마포구,동교동,42,4
동작구,사당동,41,22
동작구,노량진동,41,10
동작구,상도동,41,5
동작구,신대방동,41,2
동작구,흑석동,41,1
동작구,대방동,41,1
서초구,서초동,36,25
서초구,방배동,36,5
서초구,잠원동,36,4
서초구,반포동,36,2
구로구,오류동,32,27
구로구,개봉동,32,4
구로구,고척동,32,1
서대문구,창천동,27,13
서대문구,남가좌동,27,7
서대문구,홍제동,27,2
서대문구,영천동,27,2
서대문구,연희동,27,1
서대문구,대현동,27,1
서대문구,홍은동,27,1
도봉구,창동,21,21
용산구,이태원동,21,7
용산구,원효로2가,21,4
용산구,동자동,21,2
용산구,한남동,21,2
용산구,남영동,21,2
용산구,이촌동,21,1
용산구,갈월동,21,1
용산구,한강로1가,21,1
용산구,한강로2가,21,1
노원구,상계동,20,20
성동구,도선동,20,13
성동구,행당동,20,2
성동구,송정동,20,2
성동구,용답동,20,2
성동구,홍익동,20,1
중랑구,상봉동,17,11
중랑구,묵동,17,3
중랑구,면목동,17,3
광진구,군자동,10,4
광진구,화양동,10,3
광진구,구의동,10,3
성북구,보문동4가,8,2
성북구,길음동,8,1
성북구,종암동,8,1
성북구,동소문동6가,8,1
성북구,동선동4가,8,1
성북구,동소문동5가,8,1
성북구,동선동1가,8,1
양천구,목동,3,2
양천구,신정동,3,1
