시,구,동,112 위치 신고 안내 설치수,CCTV 설치수,기타 (안심반사경 등) 설치수,노면표기 설치수,보안등 설치수,안내표지판 설치수,안심귀갓길 서비스 안내판 설치수,안심벨 설치수
서울특별시,강남구,개포동,6,3,0,1,12,0,0,2
서울특별시,강남구,논현동,27,41,0,18,122,8,0,24
서울특별시,강남구,대치동,11,7,0,4,24,0,0,7
서울특별시,강남구,도곡동,4,2,0,2,13,0,0,2
서울특별시,강남구,삼성동,13,22,0,12,95,0,0,18
서울특별시,강남구,신사동,8,9,0,7,35,0,0,8
서울특별시,강남구,역삼동,15,18,3,13,76,0,0,11
서울특별시,강남구,율현동,7,3,0,2,12,0,0,3
서울특별시,강남구,일원동,14,7,0,2,28,0,0,5
서울특별시,강남구,청담동,6,10,0,6,31,0,0,9
서울특별시,강동구,고덕동,8,7,0,8,41,0,0,7
서울특별시,강동구,길동,16,9,0,16,54,0,0,8
서울특별시,강동구,둔촌동,5,5,0,6,25,0,0,5
서울특별시,강동구,명일동,6,5,0,8,29,0,0,5
서울특별시,강동구,성내동,11,8,0,11,42,0,0,7
서울특별시,강동구,암사동,11,7,0,9,36,0,0,7
서울특별시,강동구,천호동,8,7,0,13,36,0,0,7
서울특별시,강북구,미아동,42,27,0,43,97,21,0,21
서울특별시,강북구,번동,47,16,0,30,64,20,1,13
서울특별시,강북구,수유동,83,45,5,74,190,37,0,40
서울특별시,강북구,우이동,5,4,0,7,18,0,0,3
서울특별시,강서구,공항동,9,4,0,8,18,0,0,4
서울특별시,강서구,등촌동,11,8,0,13,32,0,0,7
서울특별시,강서구,방화동,9,5,0,9,26,0,0,4
서울특별시,강서구,염창동,4,3,0,5,15,0,0,3
서울특별시,강서구,화곡동,24,23,0,30,76,8,0,16
서울특별시,관악구,남현동,5,10,1,4,17,0,0,4
서울특별시,관악구,봉천동,26,48,4,24,94,0,0,19
서울특별시,관악구,신림동,67,100,0,44,188,4,1,26
서울특별시,광진구,구의동,7,8,0,0,25,6,0,6
서울특별시,광진구,자양동,12,11,0,5,57,0,0,11
서울특별시,광진구,중곡동,10,10,0,8,64,0,0,9
서울특별시,광진구,화양동,1,4,0,0,12,0,0,4
서울특별시,구로구,가리봉동,3,6,0,5,13,1,0,3
서울특별시,구로구,개봉동,6,4,0,4,17,0,0,3
서울특별시,구로구,고척동,14,4,0,2,21,0,0,3
서울특별시,구로구,구로동,26,15,0,10,56,18,0,7
서울특별시,구로구,오류동,9,10,0,8,33,0,0,8
서울특별시,금천구,가산동,5,5,0,5,13,5,0,3
서울특별시,금천구,독산동,5,15,0,15,45,11,0,12
서울특별시,금천구,시흥동,11,7,0,8,30,8,0,7
서울특별시,노원구,공릉동,20,8,1,18,29,6,0,8
