연번,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,법정동코드_10자리,시도코드,시군구코드,법정동_코드,시,구,동,지역구별 지구대/파출소 수
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 퇴계로49길 13,서울특별시 중구 퇴계로49길 13,199942.0,451197.0,정좌표,1.1140133001002001e+18,새주소,서울특별시 중구 퇴계로49길 13,서울특별시 중구 충무로5가 20-43,4559.0,1114059000.0,광희동,1114013300.0,충무로5가,1114013300,11,140,13300,서울특별시,중구,충무로5가,14
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,서울특별시 중구  퇴계로 375-1,201114.0,451442.0,정좌표,1.1140162001025e+18,새주소,서울특별시 중구 퇴계로 375-1,서울특별시 중구 신당동 250-10,4566.0,1114061500.0,신당동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,14
3,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시 중구  동호로 5길 15,서울특별시 중구  동호로 5길 15,201024.0,449986.0,정좌표,1.11401620010844e+18,새주소,서울특별시 중구 동호로5길 15,서울특별시 중구 신당동 844-3,4596.0,1114063500.0,약수동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,14
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,서울특별시 중구  동호로 261,200355.0,450721.0,정좌표,1.1140144001019601e+18,새주소,서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,4620.0,1114058000.0,장충동,1114014400.0,장충동2가,1114014400,11,140,14400,서울특별시,중구,장충동2가,14
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,서울특별시 중구  퇴계로 178,199186.0,450955.0,정좌표,1.1140137001002001e+18,새주소,서울특별시 중구 퇴계로 178,서울특별시 중구 필동1가 20-5,4627.0,1114057000.0,필동,1114013700.0,필동1가,1114013700,11,140,13700,서울특별시,중구,필동1가,14
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,서울특별시 중구 충무로56-1,199298.0,451544.0,정좌표,1.1140155001029101e+18,새주소,서울특별시 중구 충무로 56-1,서울특별시 중구 을지로3가 291-50,4549.0,1114060500.0,을지로동,1114015500.0,을지로3가,1114015500,11,140,15500,서울특별시,중구,을지로3가,14
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 ,서울특별시 종로구  종로17길 4 ,198952.0,452024.0,정좌표,1.11101380010039e+18,새주소,서울특별시 종로구 종로17길 4,서울특별시 종로구 종로2가 39-3,3140.0,1111061500.0,종로1.2.3.4가동,1111013800.0,종로2가,1111013800,11,110,13800,서울특별시,종로구,종로2가,20
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),서울특별시 종로구 삼일대로15길 19 1층(임시파출소),198725.0,451824.0,정좌표,1.1110135001001101e+18,새주소,서울특별시 종로구 삼일대로15길 19,서울특별시 종로구 관철동 11-19,3190.0,1111061500.0,종로1.2.3.4가동,1111013500.0,관철동,1111013500,11,110,13500,서울특별시,종로구,관철동,20
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,서울특별시 종로구  세검정로 226 ,196261.0,455303.0,정좌표,1.11101850010095e+18,새주소,서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1,3017.0,1111055000.0,부암동,1111018500.0,홍지동,1111018500,11,110,18500,서울특별시,종로구,홍지동,20
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,서울특별시 종로구  평창문화로 46,196984.0,455880.0,정좌표,1.11101830010273e+18,새주소,서울특별시 종로구 평창문화로 46,서울특별시 종로구 평창동 273-3,3011.0,1111056000.0,평창동,1111018300.0,평창동,1111018300,11,110,18300,서울특별시,종로구,평창동,20
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구 삼청로 75-2 (팔판동),서울특별시 종로구 삼청로 75-2 (팔판동),198294.0,453337.0,정좌표,1.11101390010056e+18,새주소,서울특별시 종로구 삼청로 75-2,서울특별시 종로구 팔판동 56,3054.0,1111054000.0,삼청동,1111013900.0,팔판동,1111013900,11,110,13900,서울특별시,종로구,팔판동,20
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,서울특별시 종로구  효자로 9,197634.0,452720.0,정좌표,1.1110106001003501e+18,새주소,서울특별시 종로구 효자로 9,서울특별시 종로구 통의동 35-66,3044.0,1111053000.0,사직동,1111010600.0,통의동,1111010600,11,110,10600,서울특별시,종로구,통의동,20
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,서울특별시 종로구  자하문로 92-1,197331.0,453547.0,정좌표,1.11101030010012e+18,새주소,서울특별시 종로구 자하문로 92-1,서울특별시 종로구 궁정동 12-1,3047.0,1111051500.0,청운효자동,1111010300.0,궁정동,1111010300,11,110,10300,서울특별시,종로구,궁정동,20
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,서울특별시 종로구  자하문로17길 24,197230.0,453242.0,정좌표,1.11101110010045e+18,새주소,서울특별시 종로구 자하문로17길 24,서울특별시 종로구 옥인동 45-16,3035.0,1111051500.0,청운효자동,1111011100.0,옥인동,1111011100,11,110,11100,서울특별시,종로구,옥인동,20
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 152,서울특별시 종로구  송월길 152,196591.0,452170.0,정좌표,1.11101810010211e+18,새주소,서울특별시 종로구 송월길 152,서울특별시 종로구 행촌동 211-3,3166.0,1111058000.0,교남동,1111018100.0,행촌동,1111018100,11,110,18100,서울특별시,종로구,행촌동,20
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,서울특별시 중구  세종대로 141,197847.0,451851.0,정좌표,1.1140103001006801e+18,새주소,서울특별시 중구 세종대로 141,서울특별시 중구 태평로1가 68-1,4519.0,1114055000.0,명동,1114010300.0,태평로1가,1114010300,11,140,10300,서울특별시,중구,태평로1가,14
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,서울특별시 종로구  경희궁길 6-3,197477.0,452054.0,정좌표,1.11101200010058e+18,새주소,서울특별시 종로구 경희궁길 6-3,서울특별시 종로구 신문로1가 58-16,3175.0,1111053000.0,사직동,1111012000.0,신문로1가,1111012000,11,110,12000,서울특별시,종로구,신문로1가,20
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9가길 6 1층,서울특별시 종로구  사직로9가길 6 1층,197195.0,452697.0,정좌표,1.11101130010139e+18,새주소,서울특별시 종로구 사직로9가길 6,서울특별시 종로구 필운동 139-1,3027.0,1111053000.0,사직동,1111011300.0,필운동,1111011300,11,110,11300,서울특별시,종로구,필운동,20
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 우정국로 45-3 1층(임시파출소),서울특별시 종로구 우정국로 45-3 1층(임시파출소),198399.0,452298.0,정좌표,1.1110129001011e+18,새주소,서울특별시 종로구 우정국로 45-3,서울특별시 종로구 견지동 110-39,3150.0,1111061500.0,종로1.2.3.4가동,1111012900.0,견지동,1111012900,11,110,12900,서울특별시,종로구,견지동,20
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,서울특별시 중구  다동길 11,198163.0,451746.0,정좌표,1.11401020010046e+18,새주소,서울특별시 중구 다동길 11,서울특별시 중구 다동 46,4521.0,1114055000.0,명동,1114010200.0,다동,1114010200,11,140,10200,서울특별시,중구,다동,14
