지역구별,동별,동별 비상벨 설치수
강남구,대치동,1
강남구,압구정동,1
강북구,미아동,1
강북구,수유동,1
강북구,우이동,1
강서구,개화동,1
강서구,화곡동,1
관악구,봉천동,1
관악구,신림동,1
광진구,구의동,1
광진구,자양동,1
구로구,개봉동,2
구로구,구로동,2
구로구,신도림동,1
금천구,시흥동,2
노원구,하계동,1
도봉구,방학동,1
동대문구,답십리동,1
동작구,상도동,1
동작구,흑석동,1
마포구,노고산동,1
마포구,동교동,1
마포구,망원동,1
서대문구,북아현동,1
서초구,방배동,2
서초구,우면동,1
서초구,잠원동,1
성동구,성수동1가,1
성북구,길음동,1
성북구,삼선동3가,1
성북구,장위동,1
성북구,정릉동,1
송파구,가락동,1
송파구,송파동,1
양천구,신정동,1
영등포구,도림동,1
영등포구,신길동,1
용산구,용산동2가,1
용산구,이촌동,1
용산구,청파동3가,1
용산구,한남동,1
은평구,진관동,2
은평구,불광동,1
은평구,역촌동,1
종로구,구기동,1
종로구,묘동,1
중구,충무로4가,1
중랑구,망우동,1
