연번,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,법정동코드_10자리,시도코드,시군구코드,읍면동코드,시,구,동,지역구별 지구대/파출소 수
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 퇴계로49길 13,서울특별시 중구 퇴계로49길 13,199942.0,451197.0,정좌표,1.1140133001002001e+18,새주소,서울특별시 중구 퇴계로49길 13,서울특별시 중구 충무로5가 20-43,4559.0,1114059000.0,광희동,1114013300.0,충무로5가,1114013300,11,140,13300,서울특별시,중구,충무로5가,66.0
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구 퇴계로 375-1,서울특별시 중구 퇴계로 375-1,201114.0,451442.0,정좌표,1.1140162001025e+18,새주소,서울특별시 중구 퇴계로 375-1,서울특별시 중구 신당동 250-10,4566.0,1114061500.0,신당동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,66.0
3,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시 중구 동호로 5길 15,서울특별시 중구 동호로 5길 15,201024.0,449986.0,정좌표,1.11401620010844e+18,새주소,서울특별시 중구 동호로5길 15,서울특별시 중구 신당동 844-3,4596.0,1114063500.0,약수동,1114016200.0,신당동,1114016200,11,140,16200,서울특별시,중구,신당동,66.0
"4 서울청 서울중부 신당 파출소 02-2252-0435 서울특별시 중구 다산로 248 (신당동, 신당파출소) 서울특별시 중구 다산로 248 (신당동, 신당파출소) 201377 451418 정좌표 1114016200101000001 새주소 서울특별시 중구 다산로 248 서울특별시 중구 신당동 100-1 04577 1114065000 신당5동 1114016200 신당동",,,,,,,,,,,,,,,,,,,,0000000000,00,000,00000,서울특별시,,,
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구 동호로 261,서울특별시 중구 동호로 261,200355.0,450721.0,정좌표,1.1140144001019601e+18,새주소,서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,4620.0,1114058000.0,장충동,1114014400.0,장충동2가,1114014400,11,140,14400,서울특별시,중구,장충동2가,66.0
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구 퇴계로 178,서울특별시 중구 퇴계로 178,199186.0,450955.0,정좌표,1.1140137001002001e+18,새주소,서울특별시 중구 퇴계로 178,서울특별시 중구 필동1가 20-5,4627.0,1114057000.0,필동,1114013700.0,필동1가,1114013700,11,140,13700,서울특별시,중구,필동1가,66.0
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,서울특별시 중구 충무로56-1,199298.0,451544.0,정좌표,1.1140155001029101e+18,새주소,서울특별시 중구 충무로 56-1,서울특별시 중구 을지로3가 291-50,4549.0,1114060500.0,을지로동,1114015500.0,을지로3가,1114015500,11,140,15500,서울특별시,중구,을지로3가,66.0
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구 종로17길 4,서울특별시 종로구 종로17길 4,198952.0,452024.0,정좌표,1.11101380010039e+18,새주소,서울특별시 종로구 종로17길 4,서울특별시 종로구 종로2가 39-3,3140.0,1111061500.0,종로1.2.3.4가동,1111013800.0,종로2가,1111013800,11,110,13800,서울특별시,종로구,종로2가,100.0
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),서울특별시 종로구 삼일대로15길 19 1층(임시파출소),198725.0,451824.0,정좌표,1.1110135001001101e+18,새주소,서울특별시 종로구 삼일대로15길 19,서울특별시 종로구 관철동 11-19,3190.0,1111061500.0,종로1.2.3.4가동,1111013500.0,관철동,1111013500,11,110,13500,서울특별시,종로구,관철동,100.0
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구 세검정로 226,서울특별시 종로구 세검정로 226,196261.0,455303.0,정좌표,1.11101850010095e+18,새주소,서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1,3017.0,1111055000.0,부암동,1111018500.0,홍지동,1111018500,11,110,18500,서울특별시,종로구,홍지동,100.0
