지역구,2020,2021,2022,2023,2024
강남구,883,908,924,944,931
강동구,753,768,787,785,737
강북구,668,679,691,689,652
강서구,939,946,963,971,946
관악구,913,913,945,949,894
광진구,729,745,751,759,734
구로구,737,761,772,779,728
금천구,566,585,600,595,566
남대문구,500,502,502,491,452
노원구,804,810,824,826,781
도봉구,567,567,574,573,544
동대문구,824,837,837,828,802
동작구,668,672,687,688,644
마포구,891,902,924,918,899
방배구,357,362,367,364,342
서대문구,681,692,679,674,638
서부구,415,456,471,477,445
서초구,733,759,775,786,779
성동구,627,641,649,639,601
성북구,529,527,527,517,474
송파구,1050,1047,1084,1095,1057
수서구,646,661,684,693,677
양천구,753,754,764,758,721
영등포구,1010,1009,1008,1014,989
용산구,703,719,806,842,809
은평구,492,470,474,475,437
종로구,661,662,616,599,564
종암구,408,403,413,414,383
중랑구,756,776,781,781,740
중부구,517,519,517,514,496
혜화구,470,469,464,466,428
