"동별","독거노인별","성별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","합계","계","독거노인현황(성별)","","273190","281068","288599","303824","328271","343567","366134","392351","422776","448251","494926",
"서울특별시","합계","남","독거노인현황(성별)","","83383","88549","0","95677","106527","110664","117958","128434","138892","149748","174334",
"서울특별시","합계","여","독거노인현황(성별)","","189807","192519","0","208147","221744","232903","248176","263917","283884","298503","320592",
"서울특별시","국민기초생활보장 수급권자","계","독거노인현황(성별)","","46806","49122","51528","59772","62917","80376","92446","110183","122508","129275","142005",
"서울특별시","국민기초생활보장 수급권자","남","독거노인현황(성별)","","13864","15081","0","21080","21840","27823","33274","40024","45703","48661","55043",
"서울특별시","국민기초생활보장 수급권자","여","독거노인현황(성별)","","32942","34041","0","38692","41077","52553","59172","70159","76805","80614","86962",
"서울특별시","저소득노인","계","독거노인현황(성별)","","33382","15534","16104","18664","24225","20131","19535","14471","13645","12775","15543",
"서울특별시","저소득노인","남","독거노인현황(성별)","","9279","3742","0","4760","7011","5065","5234","3759","4100","3619","4616",
"서울특별시","저소득노인","여","독거노인현황(성별)","","24103","11792","0","13904","17214","15066","14301","10712","9545","9156","10927",
"서울특별시","일   반","계","독거노인현황(성별)","","193002","216412","220967","225388","241129","243060","254153","267697","286623","306201","337378",
"서울특별시","일   반","남","독거노인현황(성별)","","60240","69726","0","69837","77676","77776","79450","84651","89089","97468","114675",
"서울특별시","일   반","여","독거노인현황(성별)","","132762","146686","0","155551","163453","165284","174703","183046","197534","208733","222703",
"종로구","합계","계","독거노인현황(성별)","","7604","7044","7074","7394","8668","9149","9648","8573","8998","11178","9076",
"종로구","합계","남","독거노인현황(성별)","","2842","2885","2811","2918","3564","3685","3753","3385","3596","4748","3703",
"종로구","합계","여","독거노인현황(성별)","","4762","4159","4263","4476","5104","5464","5895","5188","5402","6430","5373",
"종로구","국민기초생활보장 수급권자","계","독거노인현황(성별)","","1075","1039","1189","1256","1302","1445","1663","1839","2000","2231","2363",
"종로구","국민기초생활보장 수급권자","남","독거노인현황(성별)","","506","524","584","663","700","759","880","975","1079","1213","1296",
"종로구","국민기초생활보장 수급권자","여","독거노인현황(성별)","","569","515","605","593","602","686","783","864","921","1018","1067",
"종로구","저소득노인","계","독거노인현황(성별)","","282","237","277","344","389","528","377","337","349","403","371",
"종로구","저소득노인","남","독거노인현황(성별)","","117","88","97","116","148","175","124","122","115","127","111",
"종로구","저소득노인","여","독거노인현황(성별)","","165","149","180","228","241","353","253","215","234","276","260",
"종로구","일   반","계","독거노인현황(성별)","","6247","5768","5608","5794","6977","7176","7608","6397","6649","8544","6342",
"종로구","일   반","남","독거노인현황(성별)","","2219","2273","2130","2139","2716","2751","2749","2288","2402","3408","2296",
"종로구","일   반","여","독거노인현황(성별)","","4028","3495","3478","3655","4261","4425","4859","4109","4247","5136","4046",
"사직동","합계","계","독거노인현황(성별)","","","355","383","363","1822","439","590","490","513","556","510",
"사직동","합계","남","독거노인현황(성별)","","","115","132","126","769","144","195","160","171","197","166",
"사직동","합계","여","독거노인현황(성별)","","","240","251","237","1053","295","395","330","342","359","344",
"사직동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","36","38","41","59","59","52","60","56","54","69",
"사직동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","10","12","16","24","23","22","30","25","24","31",
"사직동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","26","26","25","35","36","30","30","31","30","38",
"사직동","저소득노인","계","독거노인현황(성별)","","","14","12","11","7","20","18","10","10","14","21",
"사직동","저소득노인","남","독거노인현황(성별)","","","7","7","4","0","2","6","2","4","5","6",
"사직동","저소득노인","여","독거노인현황(성별)","","","7","5","7","7","18","12","8","6","9","15",
"사직동","일   반","계","독거노인현황(성별)","","","305","333","311","1756","360","520","420","447","488","420",
"사직동","일   반","남","독거노인현황(성별)","","","98","113","106","745","119","167","128","142","168","129",
"사직동","일   반","여","독거노인현황(성별)","","","207","220","205","1011","241","353","292","305","320","291",
"삼청동","합계","계","독거노인현황(성별)","","","156","156","154","167","167","240","189","213","193","177",
"삼청동","합계","남","독거노인현황(성별)","","","44","49","45","46","51","72","58","71","58","58",
"삼청동","합계","여","독거노인현황(성별)","","","112","107","109","121","116","168","131","142","135","119",
"삼청동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","17","17","14","14","13","16","17","19","17","20",
"삼청동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","4","5","2","2","3","4","5","6","7","9",
"삼청동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","13","12","12","12","10","12","12","13","10","11",
"삼청동","저소득노인","계","독거노인현황(성별)","","","5","4","4","3","5","3","6","4","10","6",
"삼청동","저소득노인","남","독거노인현황(성별)","","","","0","0","0","0","0","0","-","2","1",
"삼청동","저소득노인","여","독거노인현황(성별)","","","5","4","4","3","5","3","6","4","8","5",
"삼청동","일   반","계","독거노인현황(성별)","","","134","135","136","150","149","221","166","190","166","151",
"삼청동","일   반","남","독거노인현황(성별)","","","40","44","43","44","48","68","53","65","49","48",
"삼청동","일   반","여","독거노인현황(성별)","","","94","91","93","106","101","153","113","125","117","103",
"부암동","합계","계","독거노인현황(성별)","","","348","319","315","331","346","489","418","459","458","438",
"부암동","합계","남","독거노인현황(성별)","","","126","114","109","113","113","167","145","166","157","149",
"부암동","합계","여","독거노인현황(성별)","","","222","205","206","218","233","322","273","293","301","289",
"부암동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","30","46","35","37","37","44","61","58","44","56",
"부암동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","12","18","10","15","15","17","20","18","15","15",
"부암동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","18","28","25","22","22","27","41","40","29","41",
"부암동","저소득노인","계","독거노인현황(성별)","","","9","15","17","13","12","8","20","16","12","14",
"부암동","저소득노인","남","독거노인현황(성별)","","","3","5","8","5","3","3","6","3","-","-",
"부암동","저소득노인","여","독거노인현황(성별)","","","6","10","9","8","9","5","14","13","12","14",
"부암동","일   반","계","독거노인현황(성별)","","","309","258","263","281","297","437","337","385","402","368",
"부암동","일   반","남","독거노인현황(성별)","","","111","91","91","93","95","147","119","145","142","134",
"부암동","일   반","여","독거노인현황(성별)","","","198","167","172","188","202","290","218","240","260","234",
"평창동","합계","계","독거노인현황(성별)","","","606","615","637","649","640","754","703","794","834","799",
"평창동","합계","남","독거노인현황(성별)","","","161","164","166","169","165","200","197","214","226","227",
"평창동","합계","여","독거노인현황(성별)","","","445","451","471","480","475","554","506","580","608","572",
"평창동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","28","45","35","59","45","44","48","56","59","61",
"평창동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","7","6","5","7","9","10","10","15","18","21",
"평창동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","21","39","30","52","36","34","38","41","41","40",
"평창동","저소득노인","계","독거노인현황(성별)","","","16","15","27","23","26","15","22","22","35","31",
"평창동","저소득노인","남","독거노인현황(성별)","","","5","1","4","3","2","2","5","5","9","8",
"평창동","저소득노인","여","독거노인현황(성별)","","","11","14","23","20","24","13","17","17","26","23",
"평창동","일   반","계","독거노인현황(성별)","","","562","555","575","567","569","695","633","716","740","707",
"평창동","일   반","남","독거노인현황(성별)","","","149","157","157","159","154","188","182","194","199","198",
