"동별(1)",동별(2),동별(3),2020,2021,2022,2023,2024
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계
"동별(1)",동별(2),동별(3),계,계,계,계,계
"동별(1)",동별(2),동별(3),여,여,여,여,여
"서울특별시",소계,소계,248176,263917,283884,298503,320592
"서울특별시",종로구,소계,5895,5188,5402,6430,5373
"서울특별시",종로구,사직동,395,330,342,359,344
"서울특별시",종로구,삼청동,168,131,142,135,119
"서울특별시",종로구,부암동,322,273,293,301,289
"서울특별시",종로구,평창동,554,506,580,608,572
"서울특별시",종로구,무악동,232,207,239,325,250
"서울특별시",종로구,교남동,356,294,318,402,324
"서울특별시",종로구,가회동,212,178,176,180,173
"서울특별시",종로구,종로1.2.3.4가동,524,467,354,411,339
"서울특별시",종로구,종로5.6가동,260,219,240,280,213
"서울특별시",종로구,이화동,345,294,302,391,287
"서울특별시",종로구,창신1동,316,293,266,386,289
"서울특별시",종로구,창신2동,393,377,415,571,428
"서울특별시",종로구,창신3동,203,190,212,262,214
"서울특별시",종로구,숭인1동,271,239,253,346,276
"서울특별시",종로구,숭인2동,368,320,359,444,359
"서울특별시",종로구,청운효자동,432,370,384,461,390
"서울특별시",종로구,혜화동,544,500,527,568,507
"서울특별시",중구,소계,4291,4525,4493,4750,4862
"서울특별시",중구,소공동,35,34,36,42,43
"서울특별시",중구,회현동,253,263,219,229,219
"서울특별시",중구,명동,103,106,96,103,100
"서울특별시",중구,필동,203,197,164,163,178
"서울특별시",중구,장충동,151,160,157,162,170
"서울특별시",중구,광희동,216,229,242,250,260
"서울특별시",중구,을지로동,86,89,85,95,95
"서울특별시",중구,신당5동,343,364,355,379,389
"서울특별시",중구,황학동,354,382,390,424,461
"서울특별시",중구,중림동,337,342,355,362,367
"서울특별시",중구,신당동,288,308,314,345,362
"서울특별시",중구,다산동,449,462,458,490,502
"서울특별시",중구,약수동,719,784,800,858,876
"서울특별시",중구,청구동,522,560,590,610,570
"서울특별시",중구,동화동,232,245,232,238,270
"서울특별시",용산구,소계,6911,7297,6501,6783,8341
"서울특별시",용산구,후암동,609,651,596,628,848
"서울특별시",용산구,용산2가동,407,420,379,396,551
"서울특별시",용산구,남영동,314,310,262,276,399
"서울특별시",용산구,원효로2동,379,378,381,399,812
"서울특별시",용산구,효창동,208,231,210,218,363
"서울특별시",용산구,용문동,332,373,362,397,595
"서울특별시",용산구,이촌1동,639,659,555,589,247
"서울특별시",용산구,이촌2동,299,339,315,323,485
"서울특별시",용산구,이태원1동,281,291,247,259,539
"서울특별시",용산구,이태원2동,356,373,319,374,664
"서울특별시",용산구,서빙고동,356,369,312,328,423
"서울특별시",용산구,보광동,583,618,566,552,433
"서울특별시",용산구,청파동,598,627,605,653,592
"서울특별시",용산구,원효로1동,326,343,312,330,497
"서울특별시",용산구,한강로동,544,574,484,497,444
"서울특별시",용산구,한남동,680,741,596,564,449
"서울특별시",성동구,소계,9496,7587,7622,8076,8287
"서울특별시",성동구,왕십리2동,526,450,451,486,484
"서울특별시",성동구,마장동,799,670,659,696,697
"서울특별시",성동구,사근동,350,285,267,273,279
"서울특별시",성동구,행당1동,422,318,321,329,355
"서울특별시",성동구,행당2동,812,600,640,680,695
"서울특별시",성동구,응봉동,426,397,366,380,375
"서울특별시",성동구,금호1가동,712,500,526,549,559
"서울특별시",성동구,금호4가동,517,458,462,503,529
"서울특별시",성동구,성수1가1동,427,341,328,371,380
"서울특별시",성동구,성수1가2동,317,269,278,296,313
"서울특별시",성동구,성수2가1동,589,477,480,510,510
"서울특별시",성동구,성수2가3동,289,254,214,224,233
"서울특별시",성동구,송정동,437,318,309,345,352
"서울특별시",성동구,용답동,530,385,394,440,464
"서울특별시",성동구,왕십리도선동,848,623,654,675,713
"서울특별시",성동구,금호2.3가동,805,650,644,685,679
"서울특별시",성동구,옥수동,690,592,629,634,670
"서울특별시",광진구,소계,7689,8177,11434,9026,6526
"서울특별시",광진구,화양동,421,433,522,425,279
"서울특별시",광진구,군자동,497,538,746,592,464
"서울특별시",광진구,중곡1동,390,405,639,477,369
"서울특별시",광진구,중곡2동,470,518,756,594,414
"서울특별시",광진구,중곡3동,524,554,815,609,492
"서울특별시",광진구,중곡4동,793,828,1248,892,663
"서울특별시",광진구,능동,231,241,341,270,196
"서울특별시",광진구,구의1동,511,537,763,625,439
"서울특별시",광진구,구의2동,625,682,931,744,533
"서울특별시",광진구,구의3동,503,558,690,565,366
"서울특별시",광진구,광장동,383,396,487,435,328
"서울특별시",광진구,자양1동,627,664,1007,784,599
"서울특별시",광진구,자양2동,530,554,819,617,417
"서울특별시",광진구,자양3동,515,573,688,626,411
"서울특별시",광진구,자양4동,669,696,982,771,556
"서울특별시",동대문,소계,10387,10922,11322,11817,12188
"서울특별시",동대문,회기동,315,326,327,334,325
"서울특별시",동대문,휘경1동,303,327,333,340,323
"서울특별시",동대문,휘경2동,626,643,658,692,714
"서울특별시",동대문,청량리동,1099,1159,1231,1293,1324
"서울특별시",동대문,용신동,1029,1081,1171,1235,1292
"서울특별시",동대문,제기동,1150,1175,1182,1190,1194
"서울특별시",동대문,전농1동,1071,1137,1131,1179,1212
"서울특별시",동대문,전농2동,538,574,620,655,693
"서울특별시",동대문,답십리2동,855,908,955,1005,1089
"서울특별시",동대문,장안1동,862,927,988,1047,1112
"서울특별시",동대문,장안2동,759,804,817,856,897
"서울특별시",동대문,이문1동,548,566,583,612,595
"서울특별시",동대문,이문2동,638,677,703,729,740
"서울특별시",동대문,답십리1동,594,618,623,650,678
"서울특별시",중랑구,소계,11818,12524,13327,14223,15058
"서울특별시",중랑구,면목2동,880,939,968,1043,1101
"서울특별시",중랑구,면목4동,683,720,756,823,860
"서울특별시",중랑구,면목5동,322,342,367,404,429
"서울특별시",중랑구,면목7동,653,692,714,755,796
"서울특별시",중랑구,상봉1동,630,680,731,775,829
"서울특별시",중랑구,상봉2동,532,568,596,643,692
"서울특별시",중랑구,중화1동,552,569,615,625,666
"서울특별시",중랑구,중화2동,940,955,1011,1092,1147
"서울특별시",중랑구,묵1동,729,765,847,905,941
"서울특별시",중랑구,묵2동,576,628,637,686,717
"서울특별시",중랑구,망우3동,642,684,702,731,775
"서울특별시",중랑구,신내1동,844,890,945,1038,1095
"서울특별시",중랑구,신내2동,772,813,858,915,970
"서울특별시",중랑구,면목본동,1140,1228,1302,1371,1456
"서울특별시",중랑구,면목3.8동,877,928,1007,1082,1156
"서울특별시",중랑구,망우본동,1046,1123,1271,1335,1428
"서울특별시",성북구,소계,12058,12674,12965,13664,19088
"서울특별시",성북구,돈암1동,460,491,527,546,820
"서울특별시",성북구,돈암2동,424,435,450,471,623
"서울특별시",성북구,안암동,450,452,433,449,590
"서울특별시",성북구,보문동,471,492,499,522,695
"서울특별시",성북구,정능1동,456,465,466,488,668
"서울특별시",성북구,정능2동,667,706,703,747,987
"서울특별시",성북구,정능3동,620,646,658,682,876
"서울특별시",성북구,정능4동,773,820,855,904,1213
"서울특별시",성북구,길음1동,619,653,686,721,1035
"서울특별시",성북구,길음2동,410,458,486,496,728
"서울특별시",성북구,월곡1동,690,742,772,820,1189
"서울특별시",성북구,월곡2동,611,604,608,638,938
"서울특별시",성북구,장위1동,668,710,761,808,1231
"서울특별시",성북구,장위2동,523,557,591,636,944
"서울특별시",성북구,장위3동,286,311,326,361,547
"서울특별시",성북구,성북동,528,540,527,557,667
"서울특별시",성북구,삼선동,700,733,732,774,1065
"서울특별시",성북구,동선동,456,468,407,425,570
"서울특별시",성북구,종암동,1126,1194,1241,1312,1844
"서울특별시",성북구,석관동,1120,1197,1237,1307,1858
"서울특별시",강북구,소계,11520,16884,17740,13468,14192
"서울특별시",강북구,번1동,616,901,960,743,740
"서울특별시",강북구,번2동,837,1308,1361,962,1008
"서울특별시",강북구,번3동,981,1666,1820,1218,1259
"서울특별시",강북구,수유1동,796,1196,1230,942,974
"서울특별시",강북구,수유2동,789,1159,1235,918,969
"서울특별시",강북구,수유3동,789,1164,1254,991,1049
"서울특별시",강북구,삼양동,898,1305,1317,1012,1081
"서울특별시",강북구,미아동,868,1205,1268,1032,1131
"서울특별시",강북구,송중동,973,1357,1376,1085,1160
"서울특별시",강북구,송천동,1221,1686,1706,1332,1320
"서울특별시",강북구,삼각산동,731,1155,1271,873,938
"서울특별시",강북구,우이동,811,1140,1196,961,1053
"서울특별시",강북구,인수동,1210,1642,1746,1399,1510
"서울특별시",도봉구,소계,9571,10154,10810,11522,12668
"서울특별시",도봉구,쌍문1동,653,681,743,782,872
"서울특별시",도봉구,쌍문2동,697,740,788,848,906
"서울특별시",도봉구,쌍문3동,542,590,611,655,709
"서울특별시",도봉구,쌍문4동,404,426,450,494,547
"서울특별시",도봉구,방학1동,794,861,938,1002,1136
"서울특별시",도봉구,방학2동,756,810,887,934,1031
"서울특별시",도봉구,방학3동,634,696,725,780,868
"서울특별시",도봉구,창1동,750,795,822,886,944
"서울특별시",도봉구,창2동,742,787,832,901,979
"서울특별시",도봉구,창3동,518,534,565,590,641
"서울특별시",도봉구,창4동,586,608,636,680,795
"서울특별시",도봉구,창5동,585,612,657,687,753
"서울특별시",도봉구,도봉1동,947,1017,1083,1141,1245
"서울특별시",도봉구,도봉2동,963,997,1073,1142,1242
