OCRN_YR,PLCST_NM,SVLNC,DTVC,STKNG,RPRT_CASCNT_WHOL,RPRT_SEX_MALE,RPRT_SEX_FMLE,RPRT_SEX_UNKWN,RPRT_SEX_ETC,ACPT_EMERG_TYPE_EMERG,ACPT_EMERG_TYPE_IMPRTNC,ACPT_EMERG_TYPE_GNRL,ACPT_EMERG_TYPE_CVAPP,ACPT_EMERG_TYPE_ETC,OCRN_DOTW_SNDD,OCRN_DOTW_MON,OCRN_DOTW_TUE,OCRN_DOTW_WED,OCRN_DOTW_THU,OCRN_DOTW_FRI,OCRN_DOTW_SAT,OCRN_TIZN_00,OCRN_TIZN_01,OCRN_TIZN_02,OCRN_TIZN_03,OCRN_TIZN_04,OCRN_TIZN_05,OCRN_TIZN_06,OCRN_TIZN_07,OCRN_TIZN_08,OCRN_TIZN_09,OCRN_TIZN_10,OCRN_TIZN_11,OCRN_TIZN_12,OCRN_TIZN_13,OCRN_TIZN_14,OCRN_TIZN_15,OCRN_TIZN_16,OCRN_TIZN_17,OCRN_TIZN_18,OCRN_TIZN_19,OCRN_TIZN_20,OCRN_TIZN_21,OCRN_TIZN_22,OCRN_TIZN_23,MNTH_AVE_INCOME_AMT,TOTL_RESID_PUL_CNT
﻿"2022","제천","36","90","27","153","40","87","26","0","3","92","47","7","4","27","16","15","21","17","23","34","12","12","7","6","8","8","3","4","0","5","3","3","8","3","7","1","5","4","4","8","9","1","12","20","0","0"
"2022","청주상당","106","231","132","469","116","327","26","0","7","239","161","40","22","73","58","63","64","64","61","86","27","46","20","35","12","15","17","9","9","12","6","11","16","12","14","26","18","19","17","25","13","24","31","35","0","0"
"2022","옥천","9","8","7","24","8","16","0","0","0","13","11","0","0","5","5","2","4","1","3","4","2","0","0","2","0","0","1","0","0","1","1","1","1","0","1","2","2","1","0","0","0","1","7","1","0","0"
"2022","영동","15","16","10","41","16","25","0","0","0","18","19","3","1","2","10","4","10","7","4","4","2","1","4","2","3","0","0","0","0","5","0","2","3","1","3","4","1","1","1","2","1","1","1","3","0","0"
"2022","충주","61","226","59","346","75","232","39","0","6","191","124","17","8","57","64","36","36","44","43","66","45","28","25","25","17","12","5","7","6","4","7","4","8","3","11","8","10","9","10","16","18","15","23","30","0","0"
"2022","보은","2","3","7","12","6","5","1","0","0","8","3","1","0","1","2","0","0","2","2","5","1","0","1","0","0","0","0","0","0","0","1","2","0","1","2","0","0","1","0","0","0","0","2","1","0","0"
"2022","의령","2","4","2","8","0","8","0","0","0","4","3","0","1","1","2","2","0","1","0","2","0","0","0","0","0","0","1","1","0","0","0","0","1","2","0","0","0","1","0","0","2","0","0","0","0","0"
"2022","함안","10","16","5","31","7","23","1","0","6","21","2","2","0","2","6","2","3","8","6","4","3","4","2","3","0","0","2","0","0","0","2","2","1","2","0","2","2","0","0","0","1","0","5","0","0","0"
"2022","청주흥덕","137","337","112","586","166","369","51","0","11","333","197","33","12","110","85","65","56","82","82","106","48","43","34","45","20","27","20","3","15","13","23","15","6","16","22","19","17","29","16","20","26","36","35","38","0","0"
"2022","청주청원","129","263","72","464","130","277","57","0","11","251","158","28","16","86","78","50","42","64","63","81","56","31","21","22","23","9","10","9","22","15","5","4","16","11","22","14","10","10","12","19","22","31","29","41","0","0"
"2022","창녕","8","45","14","67","10","48","9","0","6","33","21","4","3","17","4","11","7","6","9","13","9","7","2","1","4","0","1","0","4","1","3","3","3","0","4","3","1","1","1","0","3","2","8","6","0","0"
"2022","경상남도고성","12","12","6","30","9","20","1","0","7","13","8","2","0","5","4","2","8","2","3","6","1","2","0","2","0","0","0","2","1","2","2","0","0","0","1","1","1","0","0","2","2","1","8","2","0","0"
"2022","남해","17","27","12","56","18","37","1","0","6","27","16","7","0","9","7","11","8","8","4","9","3","1","4","1","1","0","1","1","1","2","3","0","8","2","1","4","3","2","0","4","0","10","2","2","0","0"
"2022","하동","7","8","2","17","4","13","0","0","1","9","6","1","0","1","3","8","0","1","3","1","2","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","1","2","4","1","0","0"
"2022","산청","4","3","4","11","3","8","0","0","1","6","4","0","0","1","2","0","1","2","0","5","1","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0"
"2022","구례","4","7","6","17","5","12","0","0","1","10","4","2","0","2","6","1","5","0","1","2","2","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","2","1","0","1","4","1","2","0","0","0"
"2022","진해","41","129","56","226","50","157","19","0","18","147","41","14","6","42","27","36","27","39","28","27","26","15","15","14","11","9","1","0","3","6","5","6","9","5","6","8","13","9","11","8","11","14","10","11","0","0"
"2022","함양","15","7","6","28","7","19","2","0","1","15","6","6","0","1","6","4","4","2","9","2","3","0","0","0","0","1","0","1","0","1","1","2","2","2","2","0","1","0","1","0","4","4","1","2","0","0"
"2022","거창","18","20","13","51","15","36","0","0","9","32","7","3","0","8","9","12","3","8","4","7","3","8","4","2","0","2","0","1","1","0","3","0","0","0","1","6","3","0","3","2","0","5","2","5","0","0"
"2022","서울용산","274","347","171","792","249","465","78","0","91","540","126","26","9","153","120","78","81","84","118","158","74","69","46","48","54","39","26","10","18","26","9","29","21","22","21","19","19","30","25","25","27","24","53","58","15494","3815343"
"2022","서울성동","151","254","165","570","152","366","52","0","62","404","90","10","4","83","68","79","70","79","82","109","51","51","33","32","22","19","25","11","16","10","13","14","13","26","21","15","18","17","18","26","21","29","36","33","18330","3533378"
"2022","서울중부","190","197","100","487","174","258","55","0","62","342","66","10","7","80","60","60","73","77","57","80","39","39","21","19","17","6","14","14","16","17","13","14","12","12","17","17","22","14","18","21","24","25","37","39","5077","3496024"
"2022","서울광진","408","668","242","1318","428","748","142","0","159","894","208","39","18","203","185","150","166","180","189","245","118","121","80","77","54","24","36","28","44","27","29","30","22","36","41","36","45","27","40","52","64","65","108","114","23592","3050692"
"2022","서울동대문","236","477","213","926","258","576","92","0","116","629","146","31","4","170","130","128","112","120","115","151","73","54","53","39","32","23","22","19","32","30","29","21","28","31","29","29","29","28","45","33","43","66","69","69","25842","3009513"
"2022","서울중랑","277","750","310","1337","388","836","113","0","153","904","237","36","7","220","169","177","169","182","202","218","127","133","75","74","45","41","48","31","28","38","32","33","27","29","30","33","36","49","43","56","54","87","99","89","25362","2556185"
"2022","서울성북","104","205","130","439","144","262","33","0","65","286","66","20","2","66","50","62","49","75","63","74","28","32","25","23","18","15","11","9","11","19","8","15","12","11","19","11","16","19","11","15","24","21","39","27","19232","3238939"
"2022","서울종암","83","158","116","357","121","195","41","0","45","235","63","11","3","56","48","49","50","44","63","47","21","31","29","18","12","15","9","9","7","11","8","8","12","5","8","9","14","8","21","17","15","17","25","28","23674","3096195"
"2022","서울강북","254","635","312","1201","345","745","111","0","144","824","177","50","6","202","176","163","162","146","159","193","104","88","73","58","60","48","48","36","34","24","29","29","35","49","23","27","36","29","51","56","62","44","74","84","24271","2497496"
"2022","곡성","3","11","6","20","5","14","1","0","1","11","7","1","0","1","1","1","1","8","4","4","3","0","0","2","0","0","1","0","0","0","0","0","2","0","2","1","1","2","5","0","1","0","0","0","0","0"
"2022","서울도봉","154","415","210","779","232","472","75","0","80","532","132","32","3","122","105","88","115","123","118","108","63","62","61","33","21","19","16","14","17","13","26","13","24","12","17","31","27","34","33","35","32","53","49","74","23718","2718308"
"2022","서울노원","281","391","255","927","272","572","83","0","108","619","169","28","3","163","131","113","127","136","131","126","85","59","36","56","28","31","20","13","22","24","27","19","24","27","26","28","45","51","36","41","49","62","69","49","28419","3193780"
"2022","서울서부","90","164","73","327","86","201","40","0","26","223","62","13","3","51","42","52","43","48","42","49","29","16","17","13","12","13","16","8","13","10","8","6","7","7","10","6","14","9","7","6","11","27","20","42","25307","3118941"
"2022","서울은평","140","206","130","476","121","289","66","0","48","323","83","18","4","73","70","59","63","66","68","77","39","32","31","28","13","8","9","19","17","11","6","15","11","11","14","12","14","14","22","26","21","26","35","42","36363","2787147"
"2022","서울서대문","205","323","192","720","207","424","89","0","75","461","155","18","11","94","108","86","109","110","108","105","55","49","37","41","30","24","17","19","13","16","23","23","16","23","25","25","25","26","39","33","23","41","43","54","16730","3932337"
"2022","서울마포","670","662","360","1692","575","900","217","0","178","1150","318","43","3","331","235","192","205","208","230","291","145","123","115","96","83","56","37","31","39","32","41","34","36","36","54","52","59","53","81","62","66","104","145","112","24947","4027425"
"2022","서울양천","157","235","218","610","175","370","65","0","75","376","130","24","5","99","79","97","88","98","79","70","45","32","25","25","9","12","8","8","17","14","14","20","22","21","14","20","26","30","33","28","54","32","41","60","25726","3555872"
"2022","서울관악","567","1258","596","2421","734","1438","249","0","326","1618","369","80","28","377","319","305","300","351","360","409","174","178","196","151","126","98","74","61","63","63","62","58","49","45","78","62","65","64","87","92","86","119","171","199","24110","2781604"
"2022","서울서초","436","439","270","1145","357","677","111","0","121","788","179","41","16","168","165","139","151","171","159","192","103","67","56","65","53","56","28","26","32","46","37","35","20","38","34","33","35","37","47","40","45","56","78","78","25163","4862571"
"2022","서울방배","82","108","67","257","68","159","30","0","27","176","40","13","1","31","42","32","35","23","52","42","15","16","15","12","5","5","1","2","10","3","8","9","6","3","11","14","10","11","10","15","10","16","25","25","22938","4449297"
"2022","서울강남","728","1617","517","2862","877","1739","246","0","310","1979","436","118","19","445","340","376","381","451","394","475","176","189","202","164","126","116","144","125","110","107","92","61","94","76","82","102","87","74","94","96","112","112","132","189","25557","4835091"
"2022","서울수서","271","538","231","1040","291","663","86","0","101","757","138","34","10","140","144","132","132","175","151","166","91","82","53","55","48","34","37","35","32","38","38","27","29","22","23","26","32","36","51","33","40","47","60","71","25474","4741395"
"2022","서울송파","433","786","598","1817","531","1127","159","0","152","1308","266","72","19","302","223","272","214","258","247","301","138","133","105","77","85","52","29","41","45","59","40","48","50","52","56","49","59","71","83","86","86","110","116","147","25966","3968543"
