SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,중화2동 322-16(고정2)_C-JH02-0003-B,37.5963,127.0739,1.0,2022-12-01
중랑구,면목3.8동 1064-9(고정2)_C-MM38-0022-B,37.5819,127.0944,1.0,2022-12-01
중랑구,중화2동 323-14 (초롱공원)_C-JH02-0023,37.5957,127.0732,1.0,2022-12-01
중랑구,면목본동 96-32 (주택가 골목삼거리)_C-MM01-0056,37.5910,127.0911,1.0,2022-12-01
중랑구,중화2동 323-14(고정1)_C-JH02-0023-A,37.5957,127.0732,1.0,2022-12-01
중랑구,면목본동 98-20(고정1)_C-MM01-0015-A,37.5904,127.0891,1.0,2022-12-01
중랑구,중화2동 331-127(고정1)_C-JH02-0038-A,37.6030,127.0744,1.0,2022-12-01
중랑구,면목본동 96-99(고정2)_C-MM01-0019-B,37.5914,127.0916,1.0,2022-12-01
중랑구,중화2동 331-127(고정2)_C-JH02-0038-B,37.6030,127.0744,1.0,2022-12-01
중랑구,면목본동 96-99(고정1)_C-MM01-0019-A,37.5914,127.0916,1.0,2022-12-01
중랑구,중화2동 331-127(고정3)_C-JH02-0038-C,37.6030,127.0744,1.0,2022-12-01
중랑구,면목본동 96-99 (하나슈퍼앞)_C-MM01-0019,37.5914,127.0916,1.0,2022-12-01
중랑구,중화2동 332-25 (고정)_C-JH02-0052-A,37.6040,127.0752,1.0,2022-12-01
중랑구,면목본동 98-20 (양지공원 안)_C-MM01-0015,37.5904,127.0891,1.0,2022-12-01
중랑구,중화2동 332-25 (골목삼거리)_C-JH02-0052,37.6040,127.0752,1.0,2022-12-01
중랑구,면목본동 96-99(고정3)_C-MM01-0019-C,37.5914,127.0916,1.0,2022-12-01
중랑구,중화2동 332-48 (배꽃공원 내)_C-JH02-0025,37.6044,127.0749,1.0,2022-12-01
중랑구,면목본동 97-39(고정3)_C-MM01-0069-C,37.5903,127.0880,1.0,2022-12-01
중랑구,중화2동 332-48 (배꽃공원 앞)_C-JH02-0007,37.6044,127.0747,1.0,2022-12-01
중랑구,면목본동 97-39(고정1)_C-MM01-0069-A,37.5903,127.0880,1.0,2022-12-01
중랑구,중화2동 330-9 (고정)_C-JH02-0046-A,37.6008,127.0752,1.0,2022-12-01
중랑구,묵1동 10-11(보조1)_C-MK01-0021-3,37.6183,127.0860,1.0,2022-12-01
중랑구,중화2동 332-48(고정1)_C-JH02-0007-A,37.6044,127.0749,1.0,2022-12-01
중랑구,묵1동 122-200(고정1)_C-MK01-0001-A,37.6084,127.0788,1.0,2022-12-01
중랑구,중화2동 332-48(고정2)_C-JH02-0007-B,37.6044,127.0749,1.0,2022-12-01
중랑구,묵1동 121-1(고정2)_C-MK01-0047-B,37.6135,127.0815,1.0,2022-12-01
중랑구,중화2동 330-9 (주택가 골목삼거리)_C-JH02-0046,37.6008,127.0752,1.0,2022-12-01
중랑구,묵1동 114-5(고정1)_C-MK01-0013-A,37.6149,127.0809,1.0,2022-12-01
중랑구,중화2동 330-9(고정2)_C-JH02-0046-B,37.6008,127.0752,1.0,2022-12-01
중랑구,묵1동 11(고정2)_C-MK01-0040-B,37.6182,127.0872,1.0,2022-12-01
중랑구,중화2동 323-14(고정2)_C-JH02-0023-B,37.5957,127.0732,1.0,2022-12-01
중랑구,묵1동 10-6(보조1)_C-MK01-0040-3,37.6179,127.0870,1.0,2022-12-01
중랑구,중화2동 323-14(고정3)_C-JH02-0023-C,37.5957,127.0732,1.0,2022-12-01
중랑구,묵1동 11 (원묵초 정문 건너편)_C-MK01-0040,37.6182,127.0872,1.0,2022-12-01
중랑구,중화2동 323-51 (고정)_C-JH02-0056-A,37.5945,127.0733,1.0,2022-12-01
중랑구,묵1동 109-20 (주택가 골목길)_C-MK01-0043,37.6154,127.0801,1.0,2022-12-01
중랑구,중화2동 329-24(보조)_C-JH02-0015-1,37.6008,127.0762,1.0,2022-12-01
중랑구,묵1동 121-1 (현대빌라앞)_C-MK01-0047,37.6135,127.0815,1.0,2022-12-01
중랑구,중화2동 329-44(보조1)_C-JH02-0006-1,37.6002,127.0757,1.0,2022-12-01
중랑구,묵1동 12 (원묵중학교정문)_C-MK01-0033,37.6182,127.0846,1.0,2022-12-01
중랑구,중화2동 331-127 (K2인라인 앞)_C-JH02-0038,37.6030,127.0744,1.0,2022-12-01
중랑구,묵1동 114-5(고정3)_C-MK01-0013-C,37.6149,127.0809,1.0,2022-12-01
중랑구,묵1동 114-5(고정2)_C-MK01-0013-B,37.6149,127.0809,1.0,2022-12-01
중랑구,묵1동 120-3 (뻥만드는 사람들앞 사거리)_C-MK01-0057,37.6144,127.0817,1.0,2022-12-01
중랑구,묵1동 12(고정1)_C-MK01-0033-A,37.6182,127.0846,1.0,2022-12-01
중랑구,묵1동 120-3 (고정)_C-MK01-0057-A,37.6144,127.0817,1.0,2022-12-01
중랑구,묵1동 12(고정2)_C-MK01-0033-B,37.6182,127.0846,1.0,2022-12-01
중랑구,묵1동 121-116 (동일하늘정원 나동 앞 공원입구)_C-MK01-0056,37.6112,127.0814,1.0,2022-12-01
중랑구,묵1동 122-185 (송원화랑맨션앞 사거리)_C-MK01-0059,37.6090,127.0796,1.0,2022-12-01
중랑구,묵1동 122-102(고정2)_C-MK01-0067-B,37.6103,127.0807,1.0,2022-12-01
중랑구,묵1동 121-116 (고정)_C-MK01-0056-A,37.6112,127.0814,1.0,2022-12-01
중랑구,묵1동 121-336(신안아파트 201동 앞 곡각)_C-MK01-0069,37.6144,127.0806,1.0,2022-12-01
중랑구,묵1동 121-118 (고정)_C-MK01-0051-A,37.6129,127.0806,1.0,2022-12-01
중랑구,묵1동 121-336(고정2)_C-MK01-0069-B,37.6144,127.0806,1.0,2022-12-01
