OBJT_ID,FCLTY_TY,MNG_INST,INS_PURPOS,INS_TYPE,INS_DETAIL,RN_ADRES,ADRES,LAT,LON,LNK_TYPE,FLAG_POL_L,FLAG_SEC_L,FLAG_MNG_L,ADDITION,INS_YEAR,LAST_INSPD,LAST_INSPT,MNG_TEL,FLAG_SERVI,CTPRVN_CD,SGG_CD,EMD_CD,X,Y,DATA_TY
1,비상벨,종로구청,약자보호,화장실,인왕산도시자연공원(청운지구 서시정),-,서울특별시 종로구 청운동 7-3,37.591042,126.966257,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2832,Y,11,11110,11110101,14133819.0772,4521813.76426,20210324
2,비상벨,종로구청,방범용,공원,인왕산도시자연공원,-,서울특별시 종로구 청운동 7-3,37.591042,126.966257,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2832,N,11,11110,11110101,14133819.0772,4521813.76426,20210324
3,비상벨,종로구청,약자보호,화장실,인왕산도시자연공원(청운지구),-,서울특별시 종로구 청운동 7-27,37.589514,126.96551,양방향,Y,N,N,-,2016,20200630,Y,02-2148-2832,Y,11,11110,11110101,14133735.9215,4521599.10291,20210324
4,비상벨,종로구청,약자보호,화장실,창의문화장실,-,서울특별시 종로구 청운동 산 1-1,37.59132439,126.9717837,양방향,Y,N,N,-,2016,20200630,Y,02-2148-2832,Y,11,11110,11110101,14134434.3066,4521853.43635,20210324
5,비상벨,종로구청,약자보호,화장실,창의문화장실,-,서울특별시 종로구 청운동 산 1-1,37.59132439,126.9717837,양방향,Y,N,N,-,2016,20200630,Y,02-2148-2832,Y,11,11110,11110101,14134434.3066,4521853.43635,20200701
6,비상벨,종로구청,약자보호,화장실,무궁화동산,-,서울특별시 종로구 궁정동 55-3,37.584386,126.972402,단방향,Y,N,N,-,2013,20200630,Y,02-2148-2864,Y,11,11110,11110103,14134503.1354,4520878.72715,20200701
7,비상벨,종로구청 청소행정과,방범용,화장실,누상동체육시설 공중화장실,-,서울특별시 종로구 누상동 산 1-3,37.580046,126.964202,미연계,N,N,N,-,2017,20200604,Y,02-2148-2383,N,11,11110,11110109,14133590.3156,4520269.08753,20210324
8,비상벨,종로구청,약자보호,화장실,인왕산도시자연공원(누상지구),-,서울특별시 종로구 누상동 산 1-38,37.578974,126.963164,양방향,Y,N,N,-,2016,20200630,Y,02-2148-2835,Y,11,11110,11110109,14133474.766,4520118.50921,20210324
9,비상벨,종로구청,방범용,공원,수성동계곡,-,서울특별시 종로구 옥인동 185-4,37.58207,126.963764,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2835,N,11,11110,11110111,14133541.5577,4520553.39431,20210324
10,비상벨,종로구청 청소행정과,방범용,화장실,인왕산수목원약수터 공중화장실,-,서울특별시 종로구 옥인동 179-1,37.58303,126.963573,미연계,N,N,N,-,2017,20200604,Y,02-2148-2383,N,11,11110,11110111,14133520.2957,4520688.24607,20210324
11,비상벨,종로구청,방범용,공원,사직공원,서울특별시 종로구 사직로9길 15-32 (사직동),서울특별시 종로구 사직동 산 1-1,37.57791908,126.9639457,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2835,N,11,11110,11110115,14133561.7844,4519970.33214,20210324
12,비상벨,종로구청,약자보호,화장실,사직공원 사직경로당 옆 화장실,서울특별시 종로구 사직로9길 15-32 (사직동),서울특별시 종로구 사직동 산 1-1,37.57791908,126.9639457,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2835,Y,11,11110,11110115,14133561.7844,4519970.33214,20200701
13,비상벨,종로구청,방범용,공원,사직공원,서울특별시 종로구 사직로9길 15-32 (사직동),서울특별시 종로구 사직동 산 1-1,37.57791908,126.9639457,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2835,N,11,11110,11110115,14133561.7844,4519970.33214,20200701
14,비상벨,종로구청,약자보호,화장실,사직공원 사직경로당 옆 화장실,서울특별시 종로구 사직로9길 15-32 (사직동),서울특별시 종로구 사직동 산 1-1,37.57791908,126.9639457,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2835,Y,11,11110,11110115,14133561.7844,4519970.33214,20210324
15,비상벨,종로구청,방범용,공원,경희궁공원,"서울특별시 종로구 새문안로 45 (신문로2가,경희궁)",서울특별시 종로구 신문로2가 2-1,37.57004215,126.9687354,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2843,N,11,11110,11110121,14134094.9714,4518863.98248,20200701
16,비상벨,종로구청,방범용,공원,경희궁공원,"서울특별시 종로구 새문안로 45 (신문로2가,경희궁)",서울특별시 종로구 신문로2가 2-1,37.57004215,126.9687354,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2843,N,11,11110,11110121,14134094.9714,4518863.98248,20210324
17,비상벨,종로구청,방범용,공원,청진근린공원,"서울특별시 종로구 종로 33 (청진동,그랑서울)",서울특별시 종로구 청진동 70,37.57096024,126.9814402,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2844,N,11,11110,11110122,14135509.2633,4518992.92626,20200701
18,비상벨,종로구청,방범용,공원,청진근린공원,"서울특별시 종로구 종로 33 (청진동,그랑서울)",서울특별시 종로구 청진동 70,37.57096024,126.9814402,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2844,N,11,11110,11110122,14135509.2633,4518992.92626,20210324
19,비상벨,종로구청,방범용,공원,서린소공원,서울특별시 종로구 종로 30 (서린동),서울특별시 종로구 서린동 79-2,37.56994741,126.980707,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2844,N,11,11110,11110123,14135427.6438,4518850.67654,20210324
20,비상벨,종로구청,방범용,공원,서린소공원,서울특별시 종로구 종로 30 (서린동),서울특별시 종로구 서린동 79-2,37.56994741,126.980707,양방향,N,N,N,CCTV,2018,20200630,Y,02-2148-2844,N,11,11110,11110123,14135427.6438,4518850.67654,20200701
21,비상벨,종로구청,방범용,공원,수송공원,-,서울특별시 종로구 수송동 80-7,37.573807,126.981186,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2843,N,11,11110,11110124,14135480.9658,4519392.75772,20210324
22,비상벨,종로구청,약자보호,화장실,우정총국,-,서울특별시 종로구 견지동 39,37.57456,126.982512,단방향,Y,N,N,-,2013,20200630,Y,02-2148-2864,Y,11,11110,11110129,14135628.5755,4519498.52019,20200701
23,비상벨,종로구청,약자보호,화장실,창덕공원,"서울특별시 종로구 율곡로 99 (와룡동,창덕궁)",서울특별시 종로구 와룡동 2-71,37.57886838,126.9897116,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2844,Y,11,11110,11110130,14136430.0313,4520103.67343,20200701
24,비상벨,종로구청,약자보호,화장실,창덕공원,"서울특별시 종로구 율곡로 99 (와룡동,창덕궁)",서울특별시 종로구 와룡동 2-71,37.57886838,126.9897116,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2844,Y,11,11110,11110130,14136430.0313,4520103.67343,20210324
25,비상벨,종로구청,방범용,공원,창덕공원,-,서울특별시 종로구 권농동 19-1,37.577775,126.991322,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2844,N,11,11110,11110131,14136609.3002,4519950.09442,20210324
26,비상벨,종로구청,약자보호,화장실,탑골공원,"서울특별시 종로구 종로 99 (종로2가,탑골공원)",서울특별시 종로구 종로2가 37-1,37.57061151,126.9880601,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2844,Y,11,11110,11110138,14136246.1872,4518943.94769,20210324
27,비상벨,종로구청,약자보호,화장실,탑골공원,"서울특별시 종로구 종로 99 (종로2가,탑골공원)",서울특별시 종로구 종로2가 37-1,37.57061151,126.9880601,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2844,Y,11,11110,11110138,14136246.1872,4518943.94769,20200701
28,비상벨,종로구청,방범용,공원,삼청공원,"서울특별시 종로구 북촌로 134-3 (삼청동,삼청공원관리실)",서울특별시 종로구 삼청동 산 2-2,37.5879786,126.9840854,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2843,N,11,11110,11110140,14135803.7256,4521383.40642,20210324
29,비상벨,종로구청,약자보호,화장실,삼청공원(관리실 옆),"서울특별시 종로구 북촌로 134-3 (삼청동,삼청공원관리실)",서울특별시 종로구 삼청동 산 2-2,37.5879786,126.9840854,양방향,Y,N,N,-,2018,20200630,Y,02-2148-2843,Y,11,11110,11110140,14135803.7256,4521383.40642,20210324
30,비상벨,종로구청,방범용,공원,삼청공원,"서울특별시 종로구 북촌로 134-3 (삼청동,삼청공원관리실)",서울특별시 종로구 삼청동 산 2-2,37.5879786,126.9840854,양방향,N,N,N,CCTV,2016,20200630,Y,02-2148-2843,N,11,11110,11110140,14135803.7256,4521383.40642,20200701
