년도,경찰서,출동수
yr,polist,gut_cnt
2011,강남,97296
2011,강동,84504
2011,강북,76395
2011,강서,100005
2011,관악,97860
2011,광진,79937
2011,구로,82389
2011,금천,65974
2011,남대문,33263
2011,노원,85722
2011,도봉,57871
2011,동대문,86980
2011,동작,66651
2011,마포,91183
2011,방배,26491
2011,서대문,59713
2011,서부,38341
2011,서초,70909
2011,성동,53805
2011,성북,40030
2011,송파,117128
2011,수서,63995
2011,양천,74938
2011,영등포,107938
2011,용산,66991
2011,은평,49452
2011,종로,39845
2011,종암,40648
2011,중랑,87333
2011,중부,44687
2011,혜화,36398
2012,강남,98690
2012,강동,87888
2012,강북,77858
2012,강서,101979
2012,관악,100626
2012,광진,84926
2012,구로,82257
2012,금천,67572
2012,남대문,33276
2012,노원,88629
2012,도봉,57609
2012,동대문,87013
2012,동작,67295
2012,마포,96636
2012,방배,26924
2012,서대문,61379
2012,서부,37665
2012,서초,69831
2012,성동,55628
2012,성북,41048
2012,송파,118676
2012,수서,64128
2012,양천,76102
2012,영등포,108750
2012,용산,69345
2012,은평,51999
2012,종로,39915
2012,종암,40569
2012,중랑,90160
2012,중부,46206
2012,혜화,37190
2013,강남,100159
2013,강동,95647
2013,강북,80675
2013,강서,112628
2013,관악,112035
2013,광진,90730
2013,구로,85327
2013,금천,69167
2013,남대문,33138
2013,노원,92442
2013,도봉,59472
2013,동대문,95201
2013,동작,73890
2013,마포,106508
2013,방배,28007
2013,서대문,66157
2013,서부,41029
2013,서초,74971
2013,성동,58278
2013,성북,42307
2013,송파,125523
2013,수서,69382
2013,양천,79796
2013,영등포,112083
2013,용산,72470
2013,은평,55462
2013,종로,42962
2013,종암,41402
2013,중랑,93437
2013,중부,47970
2013,혜화,40264
2014,강남,103080
2014,강동,98459
2014,강북,86820
2014,강서,121142
2014,관악,120163
2014,광진,98993
2014,구로,92733
2014,금천,70641
2014,남대문,35116
2014,노원,98589
2014,도봉,61856
2014,동대문,102427
2014,동작,76714
2014,마포,113155
2014,방배,30791
2014,서대문,72645
2014,서부,41508
2014,서초,80681
2014,성동,60935
2014,성북,45755
2014,송파,132362
2014,수서,73940
2014,양천,82096
2014,영등포,124018
2014,용산,76645
2014,은평,58358
2014,종로,45784
2014,종암,43969
2014,중랑,98792
2014,중부,49049
2014,혜화,41281
2015,강남,99168
2015,강동,94193
2015,강북,79634
2015,강서,116561
2015,관악,113627
2015,광진,92547
2015,구로,89610
2015,금천,68027
2015,남대문,32992
2015,노원,96246
2015,도봉,58027
2015,동대문,97319
2015,동작,71189
2015,마포,110374
2015,방배,28520
2015,서대문,68579
2015,서부,39534
2015,서초,78323
2015,성동,58252
2015,성북,42291
2015,송파,134780
2015,수서,72007
2015,양천,79155
2015,영등포,118640
2015,용산,73050
2015,은평,56627
2015,종로,42253
2015,종암,39796
2015,중랑,92500
2015,중부,45983
2015,혜화,37605
2016,강남,96852
2016,강동,87446
2016,강북,76723
2016,강서,111972
2016,관악,108733
2016,광진,88093
2016,구로,86042
2016,금천,64011
2016,남대문,31841
2016,노원,90428
2016,도봉,56850
2016,동대문,92430
2016,동작,68460
2016,마포,108067
2016,방배,28111
2016,서대문,68122
2016,서부,36920
2016,서초,77311
2016,성동,54597
2016,성북,42736
2016,송파,125015
2016,수서,70695
2016,양천,76584
2016,영등포,113566
2016,용산,70451
2016,은평,55393
2016,종로,40802
2016,종암,36641
