년도,시도청,경찰서,경찰 정원
2023,서울,서울중부,502
2023,서울,서울종로,596
2023,서울,서울남대문,481
2023,서울,서울서대문,656
2023,서울,서울혜화,449
2023,서울,서울용산,798
2023,서울,서울성북,511
2023,서울,서울동대문,805
2023,서울,서울마포,895
2023,서울,서울영등포,980
2023,서울,서울성동,625
2023,서울,서울동작,667
2023,서울,서울광진,731
2023,서울,서울서부,456
2023,서울,서울강북,669
2023,서울,서울금천,575
2023,서울,서울중랑,756
2023,서울,서울강남,908
2023,서울,서울관악,909
2023,서울,서울강서,939
2023,서울,서울강동,760
2023,서울,서울종암,400
2023,서울,서울구로,750
2023,서울,서울서초,755
2023,서울,서울양천,740
2023,서울,서울송파,1049
2023,서울,서울노원,797
2023,서울,서울방배,354
2023,서울,서울은평,458
2023,서울,서울도봉,562
2023,서울,서울수서,667
