연번,시도청,경찰서,치안센터명,주소
1 ,서울청,서울중부,충4치안센터,서울 중구 충무로2길 39
2 ,서울청,서울종로,구기치안센터,서울 종로구 비봉길 13
3 ,서울청,서울서대문,북아현치안센터,서울 서대문구 북아현로 59-1번지
4 ,서울청,서울혜화,종로3가치안센터,서울 종로구 돈화문로 28
5 ,서울청,서울용산,청파치안센터,서울 용산구 청파로 274-2
6 ,서울청,서울용산,용산치안센터,서울 용산구 신흥로 90
7 ,서울청,서울용산,한남2치안센터,서울 용산구 이태원로 281
8 ,서울청,서울용산,이촌치안센터,서울 용산구 이촌로71길 24
9 ,서울청,서울성북,삼선치안센터,서울 성북구 보문로29길 92
10 ,서울청,서울성북,길음1치안센터,서울 성북구 정릉로 31길 30 
11 ,서울청,서울성북,정릉1치안센터,서울 성북구 동소문로 258
12 ,서울청,서울동대문,답십리1치안센터,서울 동대문 고미술로 93
13 ,서울청,서울동대문,장안3치안센터,서울 동대문구 장안로18길 78
14 ,서울청,서울마포,노고산치안센터,서울 마포구 신촌로18길 26
15 ,서울청,서울마포,망원2치안센터,서울 마포구 월드컵로 31길 18
16 ,서울청,서울마포,동교치안센터,서울 마포구 신촌로2안길 27
17 ,서울청,서울영등포,도림치안센터,서울 영등포구 도신로 29길 13
18 ,서울청,서울영등포,신길5치안센터,서울 영등포구 신길로 23길 12
19 ,서울청,서울성동,뚝섬치안센터,서울 성동구 왕십리로5길 3
20 ,서울청,서울동작,흑석2치안센터,서울 동작구 현충로140-1
21 ,서울청,서울동작,상도2치안센터,서울 동작구 장승배기로 73
22 ,서울청,서울광진,자양2치안센터,서울 광진구 자양로3가길 28
23 ,서울청,서울광진,구의3치안센터,서울 광진구 광나루로56길 4
24 ,서울청,서울서부,역촌1치안센터,서울 은평구 연서로6길 19
25 ,서울청,서울강북,동화치안센터,서울 강북구 솔매로49길 14
26 ,서울청,서울강북,우이치안센터,서울 강북구 삼양로 678
27 ,서울청,서울강북,수유6치안센터,서울 강북구 삼양로 457
28 ,서울청,서울금천,시흥본치안센터,서울 금천구 금하로 11길 40
29 ,서울청,서울금천,시흥3치안센터,서울 금천구 시흥대로37길 18
30 ,서울청,서울중랑,망우3치안센터,서울 중랑구 용마공원로5길 13
31 ,서울청,서울강남,코엑스치안센터,서울 봉은사로 524
32 ,서울청,서울강남,압구정치안센터,서울 강남구 압구정로 33길 48
33 ,서울청,서울관악,서원치안센터,관악구 신원로 36
34 ,서울청,서울관악,청룡2치안센터,관악구 참숯1길 33
35 ,서울청,서울강서,화곡본동치안센터,서울 강서구 까치산로 51
36 ,서울청,서울강서,개화2치안센터,서울 강서구 개화동로 275-1
37 ,서울청,서울종암,장위2치안센터,서울 성북구 화랑로 19길 85
38 ,서울청,서울구로,신도림치안센터,서울 구로구 신도림로 40
39 ,서울청,서울구로,구로1치안센터,서울 구로구 구일로 52
40 ,서울청,서울구로,구로2치안센터,서울 구로구 구로동로 141
41 ,서울청,서울구로,개봉치안센터,서울 구로구 경인로 293
42 ,서울청,서울구로,개봉3치안센터,서울 구로구 개봉로 1가길 28
43 ,서울청,서울서초,잠원치안센터,서울 서초구 나루터로 38
44 ,서울청,서울서초,방서치안센타,서울 서초구 명달로 55
45 ,서울청,서울서초,우면치안센터,서울 서초구 바우뫼로 45
46 ,서울청,서울양천,신정7치안센터,서울 양천구 목동남로93
47 ,서울청,서울송파,송파1치안센터,서울 송파구 백제고분로 392
48 ,서울청,서울송파,가락2치안센터,서울 송파구 오금로 46길 55
49 ,서울청,서울노원,하계1치안센터,서울 노원구 공릉로 290
50 ,서울청,서울방배,방배4치안센터,서울 서초구 방배중앙로 131
51 ,서울청,서울은평,불광1치안센터,서울 은평구 불광로 129
52 ,서울청,서울은평,신도치안센터,서울 은평구 진관2로 125
53 ,서울청,서울은평,상림치안센터,서울 은평구 진관4로 48-25
54 ,서울청,서울도봉,방학2치안센터,서울 도봉구 방학로 12길 18
55 ,서울청,서울수서,은마치안센터,서울 강남구 삼성로 236
56 ,부산청,부산중부,창선치안센터,광복중앙로1
57 ,부산청,부산동래,명장2치안센터,부산 동래구 명서로 111
58 ,부산청,부산동래,온천3치안센터,부산 동래구 석사북로 93
59 ,부산청,부산동래,사직2치안센터,부산 동래구 사직북로63번길 22
60 ,부산청,부산영도,영선2치안센터,부산 영도구 남항 새싹3길 2
61 ,부산청,부산영도,남항치안센터,부산 영도구 절영로 91
62 ,부산청,부산영도,동삼3치안센터,부산 영도구 상리로 41
63 ,부산청,부산영도,청학1치안센터,부산 영도구 하나길 813
64 ,부산청,부산영도,봉래치안센터,부산 영도구 봉래길 120
65 ,부산청,부산동부,초량2치안센터,동구 중앙대로 251번길 42
66 ,부산청,부산동부,역전치안센터,동구 중앙대로 210
67 ,부산청,부산부산진,시민공원치안센터,진구 시민공원로73
68 ,부산청,부산부산진,중앙치안센터,진구 중앙대로702번길47
69 ,부산청,부산부산진,부전2치안센터,진구 부전로33
70 ,부산청,부산부산진,당감1치안센터,진구 백양대로50
71 ,부산청,부산부산진,가야1치안센터,진구 대학로7
72 ,부산청,부산서부,서대치안센터,부산시 서구 서대신동2가 410-2
73 ,부산청,부산남부,용호2치안센터,남구 용주로 36
74 ,부산청,부산남부,대연1치안센터,남구 유엔평화로13번길 63
75 ,부산청,부산남부,용호1치안센터,남구 용호로42번길 27
76 ,부산청,부산남부,대연4치안센터,남구 유엔로 152
77 ,부산청,부산남부,남천2치안센터,수영구 남천동로 76
78 ,부산청,부산남부,광안1치안센터,수영구 수영로 635
79 ,부산청,부산해운대,우1치안센터,해운대구 우동1로 56
80 ,부산청,부산해운대,재송2치안센터,해운대구 해운대로81번길 117
81 ,부산청,부산해운대,중1치안센터,해운대구 중동1로37번길 22
82 ,부산청,부산해운대,좌3치안센터,해운대구 좌동순환로 20
83 ,부산청,부산사상,삼락치안센터,사상구 모덕로13
84 ,부산청,부산사상,괘법치안센터,사상구  사상로 202번길 27
85 ,부산청,부산사상,덕포2치안센터,사상구 모덕로 84
86 ,부산청,부산사상,주례1치안센터,사상구 가야대로255번길 17-5
87 ,부산청,부산금정,구서2치안센터,금정구 금강로565길 23 (구서동)
88 ,부산청,부산사하,괴정3치안센터,사하구 낙동대로 188
89 ,부산청,부산연제,연산5치안센터,연제구 월드컵대로165번길 70
90 ,부산청,부산연제,연산8치안센터,연제구 과정로 227
91 ,부산청,부산연제,거제1치안센터,연제구 거제대로286번길 6
92 ,부산청,부산연제,거제2치안센터, 연제구 해맞이로 103
93 ,부산청,부산북부,구포1치안센터,부산광역시 북구 구포만세길 169
94 ,대구청,대구중부,서문시장치안센터,대구광역시 중구 큰장로28길 2
95 ,대구청,대구중부,역전치안센터,대구광역시 중구 종로 101
96 ,대구청,대구동부,용계 치안센터,대구광역시 동구 동촌로 390
97 ,대구청,대구서부,평리치안센터,대구광역시 서구 문화로49길 8
98 ,대구청,대구남부,덕천치안센터,대구광역시  남구 앞산순환로 688
99 ,대구청,대구북부,칠성치안센터,대구광역시  북구 칠성로 105
100 ,대구청,대구수성,고산2동치안센터,대구광역시  수성구 시지로 46
101 ,대구청,대구수성,만촌1동치안센터,대구광역시  수성구 무열로 196
102 ,대구청,대구달서,도원치안센터,대구광역시 달서구 한실로 115
103 ,대구청,대구달서,상인2동치안센터,대구광역시 달서구 상원로 32
104 ,대구청,대구달서,상인3동치안센터,대구광역시 달서구 상인로 21
105 ,대구청,대구강북,칠곡치안센터,대구광역시 북구 칠곡중앙대로 563
