연번,시,구,동,도로명,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
1,서울특별시,중구,퇴계로49길,13,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 퇴계로49길 13,서울특별시 중구 퇴계로49길 13,199942.0,451197.0,정좌표,1114013300100200118,새주소,서울특별시 중구 퇴계로49길 13,서울특별시 중구 충무로5가 20-43,45590,11140590000,광희동,11140133000,충무로5가,서울특별시 중구 퇴계로49길 13
2,서울특별시,중구,퇴계로,375-1,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,서울특별시 중구  퇴계로 375-1,201114.0,451442.0,정좌표,1114016200102518,새주소,서울특별시 중구 퇴계로 375-1,서울특별시 중구 신당동 250-10,45660,11140615000,신당동,11140162000,신당동,서울특별시 중구 퇴계로 375-1
3,서울특별시,중구,동호로5길,15,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시 중구  동호로 5길 15,서울특별시 중구  동호로 5길 15,201024.0,449986.0,정좌표,11140162001084418,새주소,서울특별시 중구 동호로5길 15,서울특별시 중구 신당동 844-3,45960,11140635000,약수동,11140162000,신당동,서울특별시 중구 동호로5길 15
"4	서울청	서울중부	신당	파출소	02-2252-0435	 서울특별시 중구  다산로 248 (신당동, 신당파출소) 	서울특별시 중구  다산로 248 (신당동, 신당파출소) 	201377	451418	정좌표	1114016200101000001	새주소	서울특별시 중구 다산로 248	서울특별시 중구 신당동 100-1	04577	1114065000	신당5동	1114016200	신당동",,,,,,,,,,,,,,,,,,,,,,,,
5,서울특별시,중구,동호로,261,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,서울특별시 중구  동호로 261,200355.0,450721.0,정좌표,1114014400101960118,새주소,서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,46200,11140580000,장충동,11140144000,장충동2가,서울특별시 중구 동호로 261
6,서울특별시,중구,퇴계로,178,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,서울특별시 중구  퇴계로 178,199186.0,450955.0,정좌표,1114013700100200118,새주소,서울특별시 중구 퇴계로 178,서울특별시 중구 필동1가 20-5,46270,11140570000,필동,11140137000,필동1가,서울특별시 중구 퇴계로 178
7,서울특별시,중구,충무로,56-1,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,서울특별시 중구 충무로56-1,199298.0,451544.0,정좌표,1114015500102910118,새주소,서울특별시 중구 충무로 56-1,서울특별시 중구 을지로3가 291-50,45490,11140605000,을지로동,11140155000,을지로3가,서울특별시 중구 충무로 56-1
8,서울특별시,종로구,종로17길,4,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 ,서울특별시 종로구  종로17길 4 ,198952.0,452024.0,정좌표,11110138001003918,새주소,서울특별시 종로구 종로17길 4,서울특별시 종로구 종로2가 39-3,31400,11110615000,종로1.2.3.4가동,11110138000,종로2가,서울특별시 종로구 종로17길 4
9,서울특별시,종로구,삼일대로15길,19,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),서울특별시 종로구 삼일대로15길 19 1층(임시파출소),198725.0,451824.0,정좌표,1111013500100110118,새주소,서울특별시 종로구 삼일대로15길 19,서울특별시 종로구 관철동 11-19,31900,11110615000,종로1.2.3.4가동,11110135000,관철동,서울특별시 종로구 삼일대로15길 19
10,서울특별시,종로구,세검정로,226,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,서울특별시 종로구  세검정로 226 ,196261.0,455303.0,정좌표,11110185001009518,새주소,서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1,30170,11110550000,부암동,11110185000,홍지동,서울특별시 종로구 세검정로 226
